stationID,lon,lat
2048,121.439715575,31.171622034
2049,121.527848943,31.224457288
2050,121.441840398,31.225058466
2051,121.422615594,31.188486856
2052,121.552971357,31.205156342
2053,121.470561773,31.218292459
2054,121.427966595,31.221768963
2055,121.413156251,31.241192686
2056,121.455464091,31.21914496
2057,121.418836726,31.232586009
508,121.411962619,31.028392219
1043,121.342591804,31.193518019
1044,121.363529229,31.192230792
1045,121.375244457,31.196193522
512,121.376150158,31.005526962
1047,121.39921421,31.201064069
1048,121.407543286,31.198348293
1628,121.695438606,31.052487249
943,121.544387644,31.229674097
1626,121.613286958,31.05724005
1055,121.482864468,31.229964559
1058,121.479642061,31.253898054
1627,121.644868866,31.04780769
1060,121.489789828,31.270427704
1722,121.28928337,31.193953829
1062,121.501792382,31.283944779
945,121.573643749,31.243348554
1064,121.510067542,31.2997292
1065,121.509729601,31.305442827
1066,121.50401182,31.315050515
1067,121.502525459,31.323799384
1068,121.502697658,31.33112066
1629,121.757556095,31.055964545
1246,121.57507366,31.284688952
513,121.365118845,31.002572281
1630,121.789523971,31.02841678
837,121.464500701,31.255223204
1161,121.594253458,31.140388537
1631,121.846216134,30.961601584
1632,121.90670309,30.925884482
1159,121.566686634,31.160429607
2031,121.472724523,31.211562334
1622,121.578857186,31.178233461
1156,121.518661386,31.148597133
1162,121.613030242,31.132655073
1624,121.602754092,31.112309544
1625,121.607093362,31.079974585
1114,121.099702972,31.300398755
1115,121.112634001,31.298066751
1116,121.145740322,31.290849897
1117,121.157449346,31.29037688
1118,121.176250907,31.28729941
1119,121.195922139,31.295550108
1120,121.221647938,31.33387003
1633,121.925777167,30.909305386
1020,121.365793331,31.179095825
1153,121.455131976,31.161590898
1131,121.232947442,31.393474009
1132,121.223424041,31.379042743
1133,121.240967331,31.347225544
622,121.490806173,31.150842633
623,121.502354461,31.15110376
112,121.38849586,31.12298734
113,121.39828804,31.132883499
114,121.409494683,31.144053983
1139,121.360455468,31.278154062
628,121.512700268,31.195301069
629,121.51890689,31.204842461
1142,121.396085821,31.264540771
119,121.441944506,31.206619041
1144,121.406511864,31.243749563
633,121.530378145,31.235143094
634,121.53961142,31.238147385
635,121.547873193,31.24121507
124,121.463493379,31.24067856
637,121.568640821,31.252628085
638,121.577716757,31.259449703
127,121.454688131,31.260741938
128,121.450712025,31.273307641
129,121.447341668,31.281257251
130,121.445587497,31.29447578
131,121.444082899,31.30850675
132,121.442452627,31.320858825
133,121.436929642,31.332913486
134,121.433106054,31.341600756
135,121.429488802,31.356902294
136,121.42634765,31.371233449
137,121.423323482,31.382958896
138,121.420030689,31.393999581
1163,121.663732891,31.143438744
1134,121.249887524,31.332106143
1732,121.044970752,31.10255576
1135,121.272439838,31.321597357
1323,121.350698505,31.244292623
1727,121.187985351,31.163215437
1733,121.01491172,31.100588751
624,121.510363399,31.15192965
1051,121.441741894,31.211194198
625,121.511143798,31.161859926
1250,121.622624106,31.282334324
1223,121.387228456,31.15770063
626,121.506212539,31.174923735
824,121.493805184,31.120878108
1063,121.50566807,31.291328446
1046,121.38734927,31.201321803
1723,121.273850224,31.188317194
1724,121.249646264,31.180120829
1725,121.237003052,31.177460147
1726,121.220283558,31.166143452
1141,121.385192546,31.270865609
1728,121.14730964,31.163156779
1729,121.120995288,31.160797584
1730,121.092355752,31.162506672
1731,121.075760112,31.135178952
1220,121.35721193,31.132914547
1221,121.375669938,31.139418878
1222,121.387239321,31.142693849
1140,121.371234343,31.273492779
1224,121.392662297,31.162296375
1225,121.40572841,31.166154493
1226,121.415287723,31.169028586
1143,121.402592639,31.252631342
721,121.345259511,31.403775779
722,121.35280146,31.39059269
723,121.351598417,31.365445218
724,121.357774726,31.359381323
725,121.368320304,31.34649161
726,121.368834677,31.324270359
727,121.384324697,31.322373451
728,121.394081532,31.323554777
729,121.404049079,31.316758855
730,121.408605124,31.305631244
731,121.411602017,31.29507342
732,121.417174701,31.285986202
733,121.418482486,31.275723943
734,121.417997974,31.26563162
735,121.417161444,31.257880611
1248,121.598573379,31.282251196
1249,121.610593785,31.281820276
738,121.43788726,31.235646924
639,121.582521596,31.265715972
636,121.559841511,31.247492601
234,121.295031968,31.190426253
747,121.496129096,31.18446681
237,121.355346112,31.22001095
238,121.369712386,31.218084283
239,121.382591045,31.216888017
240,121.399743041,31.213019401
753,121.558661905,31.213026204
1321,121.314864878,31.242815574
1150,121.436739009,31.181366331
247,121.4979311,31.240237146
248,121.511146849,31.235374664
2004,121.584260909,31.282831741
250,121.54035992,31.220820317
251,121.546610423,31.211428964
253,121.583445308,31.204000442
254,121.597840355,31.206443837
255,121.616923077,31.213126633
256,121.652313671,31.216483578
257,121.669574879,31.215686458
258,121.676664195,31.198756563
259,121.69397627,31.188872391
260,121.719371563,31.194796045
261,121.751012842,31.201430591
262,121.792700291,31.170492685
263,121.801903153,31.152450366
1239,121.502585748,31.255518759
642,121.584663712,31.293153416
643,121.585133606,31.304728889
1241,121.519166426,31.266534411
644,121.585223441,31.314421091
640,121.58378743,31.27414907
1322,121.330754923,31.243072825
1242,121.527936109,31.270559692
645,121.59778165,31.323763133
1243,121.540707808,31.277458786
646,121.589807171,31.337549811
1329,121.425915093,31.236185753
1244,121.548415693,31.281994036
1152,121.453824439,31.169478023
647,121.582724831,31.349940744
1324,121.362869603,31.239405116
1325,121.377228761,31.234191683
1326,121.389819686,31.233673981
1245,121.557010351,31.282961224
648,121.570374974,31.355142146
1331,121.440163596,31.246266848
820,121.507905886,31.063523541
821,121.506222033,31.075710319
822,121.504236848,31.086342078
823,121.501874632,31.098688359
312,121.438667977,31.159856731
825,121.48489117,31.143021235
314,121.433731362,31.178643733
827,121.488937814,31.162962578
828,121.4918544,31.172546018
931,121.393065079,31.172459594
830,121.489343642,31.18724117
1333,121.457823884,31.238327541
1238,121.494592057,31.252401124
834,121.474712385,31.229130521
505,121.397229638,31.068926951
846,121.52862169,31.298126414
325,121.475714615,31.26190605
838,121.464264315,31.265306644
327,121.477955068,31.283218029
328,121.47870274,31.291415275
329,121.480588797,31.307468902
330,121.480433603,31.321846932
331,121.487004553,31.333957359
332,121.495949213,31.347075743
333,121.494268593,31.359927177
334,121.488635629,31.372264208
335,121.483768106,31.383177516
336,121.475066666,31.397184356
337,121.471384511,31.405920883
338,121.456448336,31.409918876
339,121.435081311,31.409673404
932,121.413652527,31.176699229
1338,121.477251581,31.199280653
847,121.527501152,31.307201218
1339,121.479708201,31.18501371
1137,121.318651748,31.298837137
744,121.469379488,31.174029921
745,121.481698094,31.17661023
507,121.405430474,31.04699477
848,121.527373151,31.316802024
1155,121.507435391,31.14525371
1138,121.345054448,31.283439299
749,121.520047669,31.189639158
2042,121.588971931,31.155506111
750,121.535752807,31.189635096
918,121.226390216,30.987130812
919,121.224717028,31.002760868
920,121.226364779,31.018055817
921,121.226340383,31.032245093
922,121.228252415,31.056164209
751,121.545954276,31.194881433
924,121.225311253,31.10625363
413,121.49643205,31.262993787
849,121.527610735,31.324729476
415,121.512674289,31.254056501
416,121.514986935,31.242168231
929,121.364298895,31.160014256
930,121.380123957,31.168432353
923,121.226085386,31.086565625
420,121.514379872,31.211791632
421,121.494964097,31.210345047
423,121.470721641,31.201255467
937,121.464086845,31.208456707
426,121.438950452,31.187352492
940,121.494041588,31.219075141
941,121.512034464,31.232726476
925,121.2559243,31.120403035
944,121.554384223,31.233964672
840,121.486134081,31.278512493
946,121.593071116,31.254865032
947,121.606959868,31.263067791
948,121.624639395,31.266505269
926,121.315099332,31.139406939
950,121.652150847,31.268194884
951,121.663791608,31.270423592
952,121.678761435,31.273301504
927,121.332241062,31.150968837
842,121.505160723,31.275299223
2037,121.429716393,31.203733942
1157,121.534488832,31.153109847
928,121.345076273,31.157421516
843,121.513485367,31.276923954
502,121.381178577,31.100133212
844,121.523979949,31.280810293
503,121.385726775,31.091103672
1019,121.360100502,31.171575037
845,121.530621364,31.290009786
2001,121.436350839,31.256450861
2002,121.485172565,31.203927157
2003,121.445871009,31.200675112
511,121.390678018,31.00938857
2005,121.47470204,31.273254588
2006,121.4499314,31.19256869
2007,121.458937996,31.195957765
2008,121.478279894,31.221015196
2009,121.408591207,31.234008201
2010,121.522955917,31.230803895
2011,121.380839538,31.112983939
2012,121.448485485,31.17485915
2013,121.321717626,31.196484051
2014,121.313063017,31.196155828
2015,121.524302062,31.213714866
2016,121.490091266,31.180529911
2017,121.446512851,31.215311025
2018,121.497061344,31.276968216
2019,121.478953029,31.239024894
2020,121.433696872,31.241718375
2021,121.467113891,31.244662253
2022,121.634358453,31.266432375
2023,121.505517848,31.187777365
2024,121.425155934,31.248182892
2025,121.433617821,31.193882267
2026,121.47772089,31.246365172
2027,121.425368538,31.15649931
2028,121.468716902,31.224666072
2029,121.431603228,31.183782631
2030,121.471816719,31.253456818
2045,121.452651529,31.186257229
2032,121.508367336,31.26024083
2033,121.456454874,31.204614556
2034,121.451257271,31.249149419
2035,121.470457083,31.234865971
2036,121.481629339,31.213855096
510,121.405597024,31.013174969
2038,121.430310384,31.170171562
2039,121.454089429,31.24375272
2040,121.476423914,31.15531154
2041,121.455627903,31.231607822
1018,121.350339687,31.167316837
2043,121.412622045,31.220078902
2044,121.416178272,31.199283289
509,121.415276286,31.020129531
2046,121.412433163,31.21145601
2047,121.485286062,31.260924792
