0,76,15,5,2,5,5,3,2,4,1,1,0,0,0,0,2,3,2,1,5,6,45,2,6,0,4,1,1,1,0,1,3,0,0,0,2,5,1,0,1,1,2,2,2,0,0,1,0,0,1,0,1,0,0,4,4,0,6,13,2,2,9,3,6,9,2,1,0,0,0,0,0,0,0,0,2,2,0,0,2,3,0,0,0,0,0,1,1,0,0,0,1,1,1,0,2,1,2,1,1,1,0,1,4,3,0,1,0,0,2,2,0,4,3,1,2,2,1,1,0,1,1,2,1,3,1,1,0,1,2,1,0,3,0,3,0,0,1,0,7,1,1,5,3,11,3,0,3,5,1,19,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,5,4,1,1,1,0,1,0,0,1,0,0,0,2,0,0,0,2,1,3,0,5,7,0,1,1,0,1,0,0,1,0,0,2,1,0,2,3,0,1,6,9,3,1,1,1,0,0,1,0,2,0,0,0,0,1,0,1,7,0,0,8,2,0,0,10,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,18,13,2,3,11,0,87,1,2,6,3,1,43,4,8,9,0,2,1,1,89,2,36,18,46,0,5,4,19,14,31,4,1,23,17,0,7,1,44,2,1,8,1,3,2,23,22,4,5,33,5,26,1
77,0,98,32,18,6,11,49,28,9,11,9,1,7,6,0,1,5,8,12,9,11,27,8,1,2,11,10,7,0,0,0,2,1,1,0,4,10,8,0,6,20,3,5,0,0,0,6,1,0,2,0,0,6,9,4,16,3,41,31,4,12,48,26,11,74,14,16,8,17,1,2,0,0,1,2,1,0,2,2,6,3,3,1,1,1,0,3,2,1,1,0,3,4,0,1,5,0,2,2,1,0,6,5,6,2,2,16,0,4,4,5,3,2,8,4,2,4,3,8,1,4,2,3,17,2,7,6,4,11,4,4,3,2,0,1,3,4,9,7,4,3,5,4,3,3,20,3,11,20,31,46,25,15,4,0,0,0,0,0,0,0,0,4,0,6,1,3,2,6,17,2,2,14,8,1,2,4,8,7,1,0,0,3,1,1,3,2,0,1,11,3,4,2,4,9,5,0,2,3,5,3,9,1,0,0,2,1,3,5,1,3,1,6,8,34,4,11,6,6,3,2,1,3,1,0,0,1,0,1,0,14,2,4,11,31,8,1,1,0,1,0,0,5,0,0,4,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,12,14,0,15,13,6,8,35,5,218,9,6,20,7,6,95,6,21,19,25,3,1,12,261,33,116,87,122,3,5,3,19,57,199,16,12,84,40,4,35,0,57,15,15,20,5,18,16,61,39,2,6,31,14,108,10
15,128,0,9,6,7,8,13,8,2,1,4,1,2,1,2,4,4,3,1,3,12,28,10,2,0,1,6,1,0,1,0,0,0,0,0,3,7,0,7,3,3,0,0,1,5,1,0,3,0,1,0,0,8,1,2,6,6,3,10,4,5,8,6,3,9,53,3,2,0,0,0,2,2,1,0,1,1,1,0,1,1,3,0,0,0,0,3,1,0,0,0,1,1,1,1,1,0,3,0,0,1,3,3,2,3,2,4,0,0,1,15,1,3,2,11,1,3,4,4,0,2,2,2,6,1,1,3,0,1,0,2,0,0,2,1,0,2,3,1,11,1,0,4,2,3,5,1,3,7,6,16,3,5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,2,1,5,5,1,0,2,3,4,2,0,0,0,1,1,2,1,0,0,0,2,1,1,0,2,0,0,0,1,8,1,3,2,0,0,6,0,2,6,1,0,7,4,1,12,1,4,14,4,1,1,3,2,1,1,0,0,1,3,1,7,0,0,5,5,2,6,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,1,9,5,3,2,6,5,79,4,2,14,4,1,32,3,9,6,1,0,1,7,57,5,130,55,42,2,2,4,4,23,90,4,3,28,7,0,21,0,13,6,12,11,47,3,5,66,23,1,5,10,11,40,16
13,20,5,0,8,3,6,13,5,1,6,7,1,1,2,0,4,3,3,1,0,1,14,2,1,3,1,1,1,0,0,1,2,0,1,0,2,0,0,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,1,4,2,2,7,4,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,6,1,0,0,0,1,8,6,2,7,0,1,1,1,1,1,3,2,0,2,1,0,0,1,0,0,3,3,3,4,1,1,0,1,0,1,2,1,0,0,0,0,1,0,2,3,0,3,9,0,3,2,6,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,43,3,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,1,0,1,1,2,0,0,11,1,0,2,1,1,1,0,1,0,0,0,1,0,2,1,2,1,0,0,0,3,1,0,0,0,1,0,1,0,4,1,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,54,0,6,3,1,1,4,0,42,1,0,0,0,3,34,2,5,4,0,0,0,2,85,1,25,21,58,1,0,1,4,27,48,3,14,22,11,0,15,0,10,2,0,2,0,3,7,14,10,2,1,3,3,48,1
1,16,18,15,0,16,77,30,16,24,25,22,7,21,10,3,19,2,33,1,3,7,11,11,3,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,3,1,0,2,1,1,0,0,0,1,0,0,0,0,0,6,5,6,5,0,1,2,2,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4,2,2,1,2,0,0,0,0,0,3,1,2,1,0,0,4,0,2,0,1,7,8,4,0,2,0,1,0,5,1,0,1,2,0,1,1,2,0,2,2,0,31,6,12,9,2,3,3,2,1,1,0,0,0,0,1,2,1,0,1,0,4,1,3,2,0,5,3,14,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,4,3,5,0,1,0,2,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,2,0,1,1,1,0,0,4,0,2,0,1,3,3,0,0,0,3,1,1,0,6,2,3,2,3,2,13,17,5,3,2,4,18,1,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,8,3,1,21,7,6,18,3,2,5,4,1,16,5,33,18,69,4,1,3,46,4,15,25,15,2,4,6,8,76,198,8,3,9,30,1,31,0,4,2,0,2,4,3,3,30,4,7,1,13,7,25,0
7,14,5,8,21,0,82,120,21,51,49,28,3,36,19,1,53,36,3,2,12,8,24,4,6,2,17,17,10,3,0,0,1,0,0,0,3,0,0,0,0,4,1,0,3,1,0,2,0,2,0,0,0,3,3,1,1,3,0,10,1,0,1,6,2,3,0,0,0,0,1,2,0,0,2,1,1,1,0,2,3,1,6,0,0,0,0,0,0,1,0,1,2,2,0,0,3,0,0,0,6,0,0,3,4,4,4,1,0,0,1,3,1,0,1,6,1,1,2,38,0,1,4,2,25,74,69,1,0,1,1,2,1,3,0,0,0,3,1,1,4,0,4,7,4,1,4,1,4,2,5,11,4,4,12,0,0,0,0,0,0,0,0,1,0,3,1,2,7,2,2,2,1,3,8,0,2,3,2,8,1,0,0,0,0,0,1,1,0,0,2,0,1,2,0,6,4,0,0,1,4,1,2,1,0,0,2,1,2,0,0,0,3,2,0,1,1,3,4,2,4,2,2,7,16,0,1,2,0,2,1,5,1,0,5,15,3,10,9,2,7,1,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,1,8,5,9,8,10,7,16,23,3,8,4,3,33,2,44,14,19,3,2,24,76,3,17,74,40,8,3,18,21,191,185,15,3,4,41,1,46,0,54,3,1,2,3,0,11,43,7,2,30,28,4,40,3
7,50,41,5,42,71,0,111,34,90,109,66,26,92,35,5,42,10,11,8,11,32,18,13,6,0,13,12,12,1,0,0,3,0,7,0,4,0,0,6,8,15,2,2,7,0,1,0,6,1,1,0,0,7,3,1,7,3,6,8,1,0,6,4,1,1,0,1,0,1,1,1,1,0,3,0,2,5,0,2,2,5,4,2,0,0,1,0,3,0,2,1,1,1,2,0,5,0,6,0,1,3,4,9,9,23,2,15,0,0,0,0,3,2,2,6,2,2,3,6,0,6,2,3,23,6,44,3,5,5,10,2,5,7,0,1,0,0,1,1,4,3,2,10,9,0,5,0,1,4,9,17,7,9,4,0,0,0,0,0,0,0,0,0,0,11,1,4,1,12,2,6,5,7,11,1,2,1,5,5,1,0,2,0,0,4,3,0,0,0,1,0,1,3,3,4,4,1,6,4,7,1,1,2,2,0,2,2,2,3,1,1,1,5,0,0,1,3,12,2,2,9,3,8,13,2,1,2,4,3,0,9,0,5,6,13,6,17,23,6,8,2,0,3,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12,6,2,20,1,11,16,19,17,28,3,9,16,9,7,35,2,53,17,15,4,5,13,118,7,15,74,32,2,8,12,61,367,186,7,11,17,40,0,77,0,41,7,11,5,10,21,15,46,20,13,14,13,13,152,7
4,14,10,12,22,54,110,0,45,60,110,66,22,81,49,4,46,6,18,0,4,15,33,15,3,5,8,6,7,1,1,0,0,0,0,0,0,0,0,3,9,10,3,2,2,1,0,0,1,0,0,2,1,6,5,1,9,3,4,10,0,0,3,1,3,2,3,0,0,1,0,0,0,3,0,0,0,2,3,3,0,1,7,3,1,0,0,0,1,0,1,1,3,1,1,0,0,0,5,0,0,2,3,16,15,8,4,5,0,2,2,1,1,1,2,3,1,2,1,2,3,10,16,3,12,5,7,8,5,5,4,3,2,2,1,5,0,0,1,1,6,2,3,3,2,2,4,4,6,7,5,13,5,3,1,0,0,0,0,0,0,0,0,0,0,9,0,0,3,4,8,3,4,3,3,1,0,3,4,4,1,1,20,0,0,0,0,0,0,0,1,2,1,4,1,9,3,0,1,7,3,2,3,0,1,1,0,1,2,2,0,1,0,6,1,0,0,2,4,3,2,2,2,6,2,1,0,4,1,0,1,7,1,1,1,10,7,13,11,3,5,0,0,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,4,0,17,10,5,9,13,9,16,26,5,8,7,4,33,7,18,14,6,4,2,11,76,2,16,53,13,3,5,10,17,260,107,19,2,14,63,0,45,1,35,4,7,3,6,5,35,19,9,15,4,9,11,26,5
4,11,4,9,21,25,39,42,0,85,29,57,17,53,41,10,39,7,7,4,2,12,9,7,7,2,7,8,4,4,0,1,1,1,0,1,3,1,2,0,3,13,6,1,3,3,0,1,1,5,1,0,0,3,0,3,3,2,7,7,0,0,2,3,0,2,1,1,1,1,0,1,0,0,1,2,0,1,3,0,2,3,1,1,0,3,4,2,3,2,1,0,0,0,0,3,6,0,0,1,1,3,9,16,5,1,1,3,0,5,1,4,0,2,4,9,1,2,1,3,2,3,3,2,9,0,5,4,3,2,5,1,1,0,0,4,0,0,1,2,2,1,5,4,3,0,5,0,1,9,2,11,2,2,3,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,3,4,1,7,5,0,3,2,1,4,0,0,0,0,0,0,1,1,0,0,3,4,0,1,0,3,0,1,1,2,2,1,2,0,0,0,5,1,0,2,0,0,0,3,0,0,0,4,7,5,2,4,3,9,2,2,0,2,3,0,0,10,0,0,2,6,6,5,5,3,1,2,1,1,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,1,2,7,4,2,12,11,12,0,2,13,5,4,10,7,37,5,4,2,0,6,35,4,19,19,15,3,6,7,16,138,65,6,2,8,39,2,28,0,8,7,2,5,4,2,6,15,9,7,5,2,3,29,7
2,22,4,4,19,56,117,67,56,0,166,32,15,69,28,25,62,2,10,2,7,22,114,10,4,1,10,19,2,2,0,1,3,0,0,0,5,0,1,12,14,3,29,14,4,1,1,5,1,2,1,0,0,10,0,4,11,1,1,15,0,1,5,5,8,3,4,0,0,3,0,0,0,0,1,3,0,1,1,0,1,5,5,1,1,2,0,0,2,0,0,0,3,1,0,3,2,5,4,4,4,37,2,3,2,2,4,2,1,0,1,4,2,0,8,7,0,1,2,0,1,2,7,3,16,13,6,6,2,47,3,0,1,6,3,2,0,1,1,5,7,0,3,6,3,1,17,3,2,6,4,19,7,31,2,0,0,0,0,0,0,0,0,3,0,8,3,10,1,2,2,5,1,16,11,1,3,3,6,8,1,1,1,2,1,2,1,0,0,0,0,1,2,3,0,2,1,1,1,5,2,0,7,5,1,0,4,1,1,2,0,1,6,12,0,0,2,7,14,3,2,6,3,10,3,4,0,1,2,5,1,15,1,2,1,5,8,15,5,5,2,5,0,1,1,0,1,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,2,29,8,5,18,24,29,19,2,6,17,7,6,48,4,40,14,46,0,3,15,133,15,12,150,41,9,52,8,10,399,277,17,2,12,112,0,39,0,69,7,17,7,8,15,4,39,50,12,15,15,9,103,12
1,22,5,4,50,45,67,52,37,186,0,157,40,118,49,14,57,6,12,7,9,19,19,16,4,2,1,4,5,0,0,1,1,0,1,0,5,0,0,2,3,8,6,16,7,0,0,1,1,7,2,0,3,5,2,2,5,11,6,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,1,1,6,0,0,3,1,0,0,1,1,0,2,1,4,1,0,2,6,3,2,1,2,7,4,4,5,4,3,4,0,0,0,0,6,7,2,0,1,0,0,3,0,2,1,5,8,4,4,1,4,6,1,0,2,3,4,3,0,3,1,0,7,1,3,0,2,0,5,0,4,6,4,17,5,12,4,0,0,0,0,0,0,0,0,1,2,2,0,5,1,5,6,3,2,6,6,5,2,3,0,6,0,0,0,3,0,0,1,0,0,0,2,0,1,1,1,4,2,0,1,1,2,2,2,1,1,0,1,1,0,1,1,0,3,3,2,0,1,3,4,1,2,5,3,5,2,1,0,0,1,2,1,12,0,0,7,3,2,8,11,0,6,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,1,16,13,19,8,10,22,16,1,1,7,3,0,15,12,32,24,11,1,1,2,60,14,7,67,19,2,12,3,2,234,94,15,2,12,44,0,44,0,45,3,1,6,23,1,8,42,29,4,4,15,6,83,4
2,20,6,7,40,42,95,147,89,54,101,0,78,45,32,17,73,3,11,2,6,13,55,11,6,2,6,7,2,2,0,1,1,0,0,0,5,0,0,1,2,5,5,13,8,5,2,8,1,2,1,1,0,33,0,8,4,6,10,5,1,0,2,1,0,0,1,0,0,0,1,1,0,1,1,2,1,1,0,2,1,0,5,0,0,0,0,3,0,1,0,1,1,0,1,0,4,0,1,4,3,6,1,6,2,3,2,4,0,1,2,1,2,2,8,5,1,6,0,1,0,2,0,7,14,22,1,7,6,6,5,0,1,0,3,3,0,0,0,1,6,1,5,1,2,0,3,0,5,5,5,53,9,3,1,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,8,3,4,19,1,3,1,0,7,5,0,1,0,0,0,0,1,0,1,0,1,2,0,3,1,2,1,1,1,2,4,0,4,4,1,0,1,0,1,3,0,0,8,1,0,0,0,3,0,2,14,6,2,4,4,4,0,0,5,3,0,8,1,4,3,33,1,20,5,2,2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,16,5,1,18,18,16,27,1,1,21,0,1,21,5,16,9,12,9,1,0,93,19,11,50,10,5,13,35,5,436,130,10,4,7,33,0,65,0,45,16,1,7,8,1,12,30,8,13,8,8,13,145,7
1,2,2,1,7,26,25,40,22,23,39,55,0,31,15,8,28,3,32,1,5,8,16,9,2,1,3,3,4,2,0,0,0,0,0,0,1,1,1,1,6,2,0,0,4,1,0,2,1,1,1,0,0,4,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,2,3,1,0,1,2,1,3,1,0,0,2,3,0,2,0,0,0,0,0,1,5,0,0,0,2,6,1,0,1,0,1,2,1,1,0,0,0,0,2,0,0,8,0,0,1,0,1,3,3,0,2,3,6,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,15,0,1,3,1,4,2,0,4,6,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,1,0,2,3,0,0,3,2,2,2,0,0,0,2,3,0,0,0,0,0,0,4,1,0,0,2,3,9,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,3,39,3,4,2,2,5,2,3,7,0,9,4,7,1,14,19,28,1,17,15,8,3,4,13,1,235,91,3,2,7,13,0,17,0,33,4,6,6,1,0,2,39,3,2,3,3,5,42,1
1,11,4,3,28,37,162,210,51,59,130,134,27,0,72,12,59,5,3,3,6,7,19,9,3,3,4,4,0,3,0,0,0,0,0,1,4,0,1,2,3,5,2,2,1,0,0,32,10,10,6,0,2,3,1,0,2,1,4,19,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,2,27,0,1,0,2,1,0,1,0,5,7,3,17,36,2,2,8,5,5,1,2,2,2,4,4,0,0,1,4,0,1,0,5,1,2,2,0,0,1,0,4,26,5,2,2,1,9,3,4,1,3,1,2,0,2,0,1,8,0,0,0,5,1,2,0,3,6,0,11,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,0,5,1,6,5,0,3,3,1,0,1,0,1,0,3,0,0,1,1,0,1,0,12,3,5,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,2,5,0,1,2,1,2,1,1,0,9,5,7,1,0,1,3,0,0,2,1,1,1,5,3,4,6,2,1,1,0,1,4,0,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,1,15,1,6,9,40,8,12,0,2,13,2,0,13,1,13,10,28,1,4,7,71,4,11,25,10,1,12,3,6,208,102,4,3,5,40,0,14,0,16,2,3,4,4,6,6,21,15,8,13,14,2,56,2
2,4,2,4,16,10,42,46,48,48,99,58,8,76,0,24,52,4,6,1,0,11,14,7,3,2,14,10,1,1,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0,3,4,7,2,0,1,6,1,5,4,1,9,3,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3,2,0,0,1,0,0,1,0,1,0,2,0,1,4,8,1,0,0,1,0,0,1,1,0,1,0,0,0,6,0,1,1,3,2,1,4,1,1,0,2,8,3,8,0,6,2,0,5,0,2,0,1,1,1,1,1,1,0,2,0,8,5,2,0,2,3,1,8,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,0,11,4,1,2,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,1,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,2,3,3,1,3,7,5,0,0,1,5,0,0,4,0,3,2,1,5,8,3,0,0,2,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,5,0,0,2,12,8,3,3,3,15,3,8,3,1,21,2,19,3,0,12,53,5,7,34,6,0,1,0,2,230,140,1,3,1,31,0,41,0,15,6,3,2,12,4,3,26,6,1,3,3,2,38,4
0,0,1,0,1,3,9,6,26,33,29,19,5,10,19,0,31,5,12,0,0,0,0,3,1,0,7,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,4,1,1,9,2,0,1,2,0,2,1,1,0,0,0,1,0,0,1,5,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,3,3,0,0,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,5,1,0,1,0,0,0,0,1,1,1,0,4,1,1,6,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,31,0,0,1,1,1,1,3,1,3,2,3,2,0,0,6,1,3,14,2,0,1,1,0,53,25,20,0,0,15,0,13,0,3,0,0,0,0,0,1,2,1,0,3,1,0,14,0
1,9,4,12,28,47,68,70,55,55,121,96,46,56,64,37,0,2,7,4,1,3,22,7,1,2,2,19,1,3,0,0,1,0,0,0,1,0,2,10,2,1,5,3,2,1,0,3,3,5,7,2,77,5,4,2,4,2,1,2,0,0,0,1,1,2,1,0,0,0,0,0,1,0,1,6,1,2,0,0,0,0,1,1,0,1,0,0,2,0,0,0,21,4,0,2,1,0,0,0,2,1,0,3,6,0,1,0,0,6,1,1,0,1,1,1,1,1,2,2,0,1,3,6,17,0,7,1,5,8,2,5,2,1,3,3,1,1,0,0,2,0,5,1,0,2,4,0,12,41,4,31,1,4,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,1,9,0,9,2,2,3,2,6,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,5,2,2,0,0,0,2,1,4,1,0,0,1,2,0,1,0,0,2,3,1,1,5,7,13,2,1,6,0,3,0,4,2,1,2,11,9,9,3,0,1,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,9,1,6,4,9,6,9,3,3,13,4,3,86,6,31,16,8,0,0,8,53,9,22,23,10,4,1,13,6,350,112,9,4,7,100,0,25,0,8,3,0,10,6,1,4,21,9,3,10,7,9,75,1
2,5,1,1,2,11,22,9,3,4,9,5,2,0,2,1,3,0,170,53,96,190,27,19,9,5,21,8,11,3,0,5,11,1,1,0,6,2,12,2,4,5,4,5,0,0,0,1,2,0,2,0,1,5,1,4,3,9,15,33,0,1,2,1,0,0,1,2,0,0,2,1,0,1,0,1,4,2,0,3,2,2,6,3,2,1,0,1,1,2,0,0,5,2,0,1,3,3,4,0,4,0,2,5,3,6,2,2,1,3,34,4,3,3,7,2,2,3,7,0,2,4,8,7,8,3,2,4,8,5,5,2,0,9,2,0,0,0,6,2,1,7,24,12,76,2,13,0,4,6,3,15,4,4,2,0,0,0,0,0,0,0,0,6,1,10,7,35,19,19,13,9,13,57,15,2,3,1,8,9,0,0,3,0,2,4,1,0,0,1,4,1,4,3,3,9,6,0,2,4,3,4,8,2,4,0,6,1,1,4,0,3,6,5,0,2,2,0,1,1,6,3,2,5,1,0,0,0,0,0,9,9,2,2,1,5,8,4,19,1,0,0,0,1,3,0,4,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,1,23,6,5,9,29,33,18,2,90,194,9,1,19,0,54,16,15,5,0,17,133,19,16,21,38,1,10,6,3,39,101,4,40,3,89,0,189,0,182,31,4,12,14,4,9,114,26,2,24,57,24,36,10
3,15,8,3,5,6,12,10,10,3,12,6,3,5,0,1,3,111,0,84,150,181,195,37,22,0,19,22,10,9,1,1,2,3,1,1,3,4,2,7,13,10,3,4,3,0,0,3,1,4,3,2,3,7,4,7,13,2,6,8,2,3,3,3,2,3,0,0,0,2,2,1,0,0,2,46,3,6,1,3,11,5,6,1,4,1,0,1,1,4,1,0,4,2,0,2,5,2,7,6,1,1,2,8,1,4,3,10,2,3,2,1,2,3,5,7,5,3,3,3,1,5,12,2,31,5,5,5,2,10,5,5,6,5,5,5,0,0,0,5,7,6,5,4,8,5,14,0,5,5,9,32,3,14,6,0,0,0,0,0,0,0,0,6,3,13,9,14,6,2,6,3,3,13,6,3,4,4,12,13,2,0,1,5,4,0,3,0,1,1,3,2,2,5,9,10,8,1,9,6,8,5,13,7,1,1,5,7,5,1,4,1,3,3,0,0,1,2,5,2,0,3,1,2,9,4,0,0,2,8,0,38,6,19,38,12,9,2,9,0,2,2,0,0,0,0,1,5,4,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,13,13,3,29,4,2,14,28,17,14,2,126,170,15,3,17,2,86,20,14,1,4,16,88,9,19,21,11,3,7,8,5,23,130,11,18,7,7,0,444,1,342,14,6,13,9,13,13,186,34,29,9,98,35,22,18
2,9,0,1,4,10,8,7,3,1,0,1,0,0,1,0,1,55,118,0,110,163,47,21,7,3,4,6,5,0,1,0,2,0,2,0,1,1,4,2,3,10,5,5,0,0,0,0,0,0,1,0,0,3,0,0,3,2,5,6,1,1,1,1,1,1,1,0,0,1,1,2,1,29,3,2,2,7,2,0,2,0,4,1,0,0,1,4,1,0,0,0,1,0,0,0,1,2,3,1,0,6,10,3,2,2,3,2,0,0,2,0,2,1,5,1,3,3,0,2,1,2,6,3,10,1,0,1,6,4,1,3,0,1,3,1,0,0,2,2,4,0,3,5,1,1,7,2,0,0,2,17,0,4,2,0,0,0,0,0,0,0,0,1,1,3,3,11,8,2,4,1,5,4,2,1,1,8,4,2,2,0,0,2,0,0,0,2,0,0,3,1,0,3,2,3,2,0,2,3,4,4,21,1,2,0,4,1,3,2,0,0,1,2,1,2,0,0,4,1,1,0,2,1,0,0,0,0,0,0,0,4,5,1,2,17,7,3,2,1,4,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,0,5,3,1,4,23,10,3,6,17,70,4,0,6,2,32,13,13,2,1,6,41,3,9,17,12,5,4,6,6,11,56,0,38,7,52,0,159,0,205,2,1,9,8,8,11,89,11,6,3,82,17,15,5
